310	Meg wanted to bake a pie. She asked her mother for help.$$They measured the flour, sugar, and butter for the crust. $Her mother showed her how to roll out the crust. Meg sliced $the apples and put them in the pie pan. They put the pie $in the hot oven and waited 45 minutes.$$As the pie baked, a delicious smell filled the kitchen. When $the timer rang, they took the pie out of the oven and $set it on the window sill to cool.#1#1.35#1#0.535
320	Zack sat down in his chair. It was time for class. The $teacher asked for last night's homework. Zack opened his $backpack to take out his homework folder. His homework $folder wasn't in it. His recorder was gone too. $$In the backpack there was a science book and a math $book. They were both too hard for Zack. There was a $piece of homework inside a green folder. The name on $it said 'Jason'. Zack must have taken his brother's identical $backpack while hurrying out the door this morning.#1#1.35#1#0.535
330	Sam and Jo went for a hike. They took a path through the $woods. Suddenly, Sam heard a noise coming from the tree $above their heads. Jo climbed up to see what the noise was $and found two baby squirrels. The babies were alone, but $their mother must be somewhere near. The children watched $and waited.$$Sure enough, the mother soon returned with a mouthful of nuts. $The noises stopped as the baby squirrels began to eat.$$Sam and Jo smiled, knowing the squirrels were safe with $their mother.#1#1.35#1#0.535
350	Do you see a face on the moon? Lots of people $see something. The man on the moon is what we $see in America. In Japan, people see a rabbit on $the moon. People in other cultures see a goddess, $or a boy picking up sticks.$$The shapes on the moon are made out of $shadows. The moon is covered in rocks. The $shadows made by those moon rocks can look like $a face, or a rabbit, or a boy.#1#1.35#1#0.535
410	Emma loves Saturday mornings. Her parents go to $work. So Emma spends time with Ms. Brown who $lives next door.$$Ms. Brown always has a jigsaw puzzle on her table. $Emma loves working on the puzzles with her.$$When Emma was little, Ms. Brown had small puzzles $with big pieces. But now that Emma is in sixth $grade, they work together on large puzzles with $hundreds of very small pieces.#1#1.35#1#0.535
420	An hour ago the sun was bright. The sky had been its $familiar blue. But now it is nearly dark at three PM. $A solar eclipse is causing this unusual event.$$The moon is passing between the earth and sun, blocking $most of the sunlight for about eight minutes. Only a small $part of the earth will see this solar eclipse.$$Long ago people were afraid of eclipses. They thought the $world was ending. Now we know the moon will continue $on its path and sunlight will return shortly.#1#1.35#1#0.535
450	Rules are strict at Peter's house. Each day, Peter gets just $one hour of screen time. It could be on a computer or on $TV. $$Kayla's parents say that she can watch television as much $as she wants, as long as she finishes her homework. $$Why can't all parents be on the same page? Both Peter $and Kayla are doing well with school work and they follow $the same rules at school. Because of the rules at Peter's $house, he plays outside more often than Kayla does.#1#1.35#1#0.535
520	On warm summer nights, Dan and Mark sleep outside $in sleeping bags. They like to look up at all the $stars and planets in the night sky.$$Mark can now easily locate the Big Dipper and the $Little Dipper. If they are really lucky, they can see $shooting stars streak across the sky.$$Sometimes there are slower moving lights in the $sky. These aren't stars, but they may be satellites $circling the globe or airplanes traveling between cities.#1#1.35#1#0.535
1401	Jeff the duck is lost. $Where is his pond? $$He walks to a rock. $"This is not my pond." $$He walks to a tree. $"This is not my pond." $$He walks to a tub. $"But I can swim here."#1#1.35#1#0.535
1502	A cat takes a nap. A dog can nap and so $can you. But does a fish nap? $$A fish does not have a bed. It cannot shut $its eyes. $$When a fish takes a nap, it keeps its eyes $open. $$A fish swims when it sleeps! $$Some fish hide when they sleep. After a $fish naps, it looks for food.#1#1.35#1#0.535
1505	Rocky barks at trucks. $$Every day Rocky barks at the mail truck. Here $comes the garbage truck, and Rocky barks. When $Rocky hears a fire truck, he barks. $$Why does he bark so much? $$When he barks, the trucks go away. $Woof! Woof! Woof! $$It works! The trucks go away. Good job, Rocky! $Now he can rest.#1#1.35#1#0.535
1603	Sounds are all around us. Sounds can be loud. $Sounds can be soft. Our ears catch the sounds. $$In the city we can hear the loud sound of trucks. $In the city we can hear the soft sound of bikes. $$In the park we can hear the loud sound of dogs $barking. In the park we can hear the soft sound of $birds singing. We can also hear the ice cream $truck!#1#1.35#1#0.535
1703	Summer is here! Pat and Danny want to walk to $the beach. $$"Don't forget to pack a snack!" calls Mom. Danny $packs some snacks. $$"Don't forget to pack your hats!" Pat packs the hats. $$"Don't forget to pack your umbrella!" "An umbrella? $But it is sunny," says Danny. $$Mom opens the door. "Oh, no!" says Pat. "It is $raining! Let's walk in the rain with our umbrellas!"#1#1.35#1#0.535
1804	I pushed the clay. I looked around the classroom. $Soon it would be my time to share. $$I turned back to my clay and began to push $again. With a small ball of clay, I made a head. $A bigger ball turned into a body. I rolled some $clay on the desk to make legs. $$Then I put my bug together and I was ready to $show the class.#1#1.35#1#0.535
1807	The tide goes out. Little pools of water are left $behind. These are called tide pools. We can see $what it's like under the sea. $$In the pools, you can find plants and small animals. $Some animals swim. Others hide under rocks and $plants. There is a lot of life in the pool. $$When the tide comes back in, the sea covers the $pools, and some of the animals can swim away.#1#1.35#1#0.535
1903	A rooster was out in the yard. He wanted some corn $to eat. $$On the ground, he saw something yellow and bright. $It was hard and round. The rooster ran to get it. He $did not want to share it. $$He pecked at it. It wasn't corn. It was a small piece $of gold! $$"I wish it were corn," said the rooster, "so I could $eat it. This yellow rock is not as tasty as corn."#1#1.35#1#0.535
