session,response,WCPM,Accuracy,wc,nRefWords,words
30908,544691,99.4,1.000,86,86,"how do plants find homes i i saw a flower growing in a sidewalk sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take can take seeds on a journey some animals hide seeds in the ground seeds can stick to an stick to an animal's fur or to a person's socks socks when the seeds fall on the ground they wait for sun and water to grow"
30915,544810,55.3,0.857,72,86,"how do plants find how do plants find homes i saw a flower growing in a sidewalk sidewalk i wondered how the plant grow got there seeds travel in ways some seeds to the just drop to the ground to the ground the wind or can take seeds on a journey some a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water"
31525,553406,55.5,1.000,82,86,"how do plants find homes i saw a flower growing on the in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take carry can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks socks when the seeds fall on the ground they wait for sun"
31788,557537,68.9,0.907,78,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in travel in different ways some seeds just drop to the ground the wind the wind or birds carry seeds to new places nearby or far away water can fall on the journey journey some animals hide seeds in on the ground they can take fur or fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
31930,560128,64.3,0.942,81,86,"how do how do plants find homes i saw a how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there the plant got there seeds travel travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby plants find away water can take seeds on a journey some animals hide seeds in the ground ground the the ground seeds can seeds travel in animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow seeds fall on"
31942,560334,88.1,1.000,86,86,"i saw a how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when when the seeds fall on the ground they wait for they wait for sun and water to grow"
32192,564806,32.4,0.774,41,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there new seeds travel in different ways some seeds just drop drop to the ground the water can take seeds on a journey a journey some"
32205,565040,87.3,0.977,84,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places there seeds or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to on the the plant got there animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
32210,565131,42.5,0.937,59,86,"how do plants find homes i saw a plants find homes i to a person's socks when the sidewalk i wondered how the how the plant got there seeds travel in different ways some ways some seeds just drop to the ground the wind or in a sidewalk i the ground the wind find homes i saw a flower growing in a on a stick hide seeds how do plants carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground in the ground in the ground seeds can stick to animals hide"
32213,565189,100.9,1.000,71,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks"
